,0,1,2
0,0.0,75.0,0.0
1,0.0,50.0,0.0
2,0.0,131.0,0.0
3,0.0,185.0,5.0
4,0.0,250.0,10.0
5,0.0,375.0,45.0
6,0.0,386.0,78.0
7,0.0,366.0,116.0
8,1.0,388.0,180.0
9,35.0,501.0,276.0
10,91.0,555.0,286.0
11,229.0,558.0,306.0
12,359.0,495.0,346.0
13,387.0,335.0,495.0
14,327.0,314.0,449.0
15,224.0,334.0,405.0
16,194.0,381.0,424.0
17,205.0,354.0,333.0
18,190.0,345.0,335.0
19,172.0,333.0,297.0
20,167.0,426.0,249.0
21,176.0,484.0,247.0
22,183.0,604.0,270.0
23,232.0,711.0,262.0
24,224.0,886.0,272.0
25,241.0,995.0,302.0
26,276.0,1037.0,331.0
27,305.0,1069.0,333.0
28,296.0,1016.0,367.0
29,297.0,928.0,369.0
30,318.0,862.0,383.0
31,346.0,776.0,471.0
32,327.0,687.0,548.0
33,244.0,530.0,699.0
34,229.0,423.0,767.0
35,209.0,414.0,780.0
36,197.0,333.0,880.0
37,157.0,279.0,901.0
38,182.0,244.0,851.0
39,149.0,201.0,708.0
40,137.0,184.0,734.0
41,127.0,164.0,673.0
42,113.0,175.0,703.0
43,108.0,147.0,640.0
44,98.0,123.0,590.0
45,87.0,121.0,457.0
46,97.0,107.0,405.0
47,93.0,88.0,328.0
48,90.0,86.0,270.0
49,77.0,95.0,223.0
50,86.0,74.0,197.0
51,74.0,82.0,182.0
52,83.0,85.0,160.0
53,57.0,74.0,142.0
54,83.0,60.0,130.0
55,37.0,77.0,116.0
56,49.0,62.0,98.0
57,50.0,48.0,103.0
58,52.0,61.0,87.0
59,48.0,63.0,100.0
60,44.0,63.0,98.0
61,56.0,53.0,86.0
62,45.0,51.0,93.0
63,56.0,44.0,90.0
64,45.0,38.0,53.0
65,45.0,43.0,63.0
66,46.0,30.0,75.0
67,56.0,35.0,68.0
68,54.0,53.0,58.0
69,62.0,41.0,67.0
70,48.0,63.0,57.0
71,55.0,38.0,60.0
72,55.0,40.0,60.0
73,61.0,31.0,45.0
74,72.0,41.0,58.0
75,88.0,39.0,39.0
76,88.0,33.0,38.0
77,99.0,38.0,37.0
