,0,1,2
0,9929.0,1429.0,1.0
1,1944.0,3997.0,17.0
2,1463.0,2380.0,65.0
3,1442.0,2183.0,1998.0
4,1820.0,2274.0,686.0
5,1486.0,2131.0,674.0
6,1395.0,2309.0,1433.0
7,1526.0,2677.0,1021.0
8,1900.0,2479.0,749.0
9,2038.0,2406.0,962.0
10,2023.0,2467.0,1100.0
11,1637.0,2459.0,832.0
12,1464.0,2062.0,1571.0
13,1869.0,1899.0,979.0
14,1575.0,2008.0,679.0
15,1613.0,1715.0,750.0
16,1441.0,1405.0,691.0
17,1125.0,1306.0,644.0
18,976.0,1298.0,449.0
19,990.0,1311.0,575.0
20,1230.0,1338.0,359.0
21,1019.0,1193.0,385.0
22,1092.0,1231.0,326.0
23,886.0,1429.0,317.0
24,943.0,1408.0,331.0
25,859.0,1315.0,334.0
26,941.0,1375.0,388.0
27,975.0,1311.0,447.0
28,1142.0,879.0,429.0
29,1127.0,706.0,505.0
30,1242.0,594.0,436.0
31,1125.0,533.0,408.0
32,959.0,451.0,359.0
33,794.0,420.0,373.0
34,656.0,420.0,383.0
35,494.0,351.0,334.0
36,498.0,328.0,369.0
37,420.0,332.0,328.0
38,427.0,284.0,300.0
39,383.0,276.0,269.0
40,356.0,273.0,245.0
41,307.0,268.0,261.0
42,325.0,272.0,245.0
43,315.0,249.0,232.0
44,297.0,249.0,265.0
45,267.0,247.0,266.0
46,261.0,239.0,230.0
47,248.0,268.0,270.0
48,259.0,258.0,228.0
49,258.0,249.0,249.0
50,246.0,258.0,230.0
51,250.0,245.0,222.0
52,275.0,269.0,249.0
53,245.0,251.0,190.0
54,251.0,255.0,277.0
55,260.0,296.0,225.0
56,255.0,276.0,260.0
57,264.0,241.0,228.0
58,285.0,257.0,261.0
59,251.0,256.0,274.0
60,247.0,234.0,301.0
61,268.0,258.0,303.0
62,239.0,231.0,322.0
63,234.0,267.0,323.0
64,242.0,236.0,317.0
65,232.0,280.0,315.0
66,249.0,272.0,286.0
67,251.0,299.0,294.0
68,263.0,283.0,273.0
69,246.0,298.0,332.0
70,270.0,374.0,305.0
71,253.0,388.0,374.0
72,259.0,430.0,378.0
73,287.0,475.0,445.0
74,299.0,476.0,377.0
75,358.0,404.0,456.0
76,365.0,423.0,505.0
77,366.0,456.0,631.0
78,332.0,471.0,578.0
79,395.0,568.0,718.0
80,352.0,494.0,739.0
81,328.0,548.0,977.0
82,369.0,615.0,1158.0
83,351.0,454.0,1120.0
84,363.0,356.0,1184.0
85,363.0,483.0,1074.0
86,473.0,405.0,919.0
87,420.0,496.0,985.0
88,419.0,486.0,952.0
89,391.0,574.0,749.0
90,429.0,488.0,712.0
91,423.0,409.0,779.0
92,492.0,566.0,772.0
93,410.0,178.0,747.0
94,374.0,28.0,799.0
95,409.0,22.0,802.0
96,398.0,18.0,835.0
97,388.0,16.0,946.0
98,383.0,13.0,1071.0
99,374.0,17.0,1047.0
100,406.0,9.0,1194.0
101,284.0,21.0,1208.0
102,483.0,13.0,1193.0
103,112.0,24.0,999.0
104,32.0,14.0,892.0
105,27.0,13.0,1078.0
106,11.0,9.0,1144.0
107,13.0,18.0,1095.0
108,15.0,18.0,964.0
109,23.0,10.0,1096.0
110,7.0,22.0,1039.0
111,14.0,18.0,971.0
112,15.0,17.0,1178.0
113,14.0,17.0,943.0
114,19.0,27.0,823.0
115,19.0,29.0,658.0
116,8.0,12.0,604.0
117,20.0,9.0,509.0
118,12.0,7.0,504.0
119,17.0,4.0,461.0
120,13.0,4.0,476.0
121,21.0,0.0,415.0
122,15.0,0.0,518.0
123,11.0,0.0,359.0
124,18.0,0.0,301.0
125,12.0,0.0,202.0
126,20.0,0.0,200.0
127,15.0,0.0,197.0
128,19.0,0.0,181.0
129,27.0,0.0,177.0
130,13.0,0.0,155.0
131,3.0,0.0,147.0
132,4.0,0.0,145.0
133,0.0,0.0,96.0
134,0.0,0.0,82.0
135,0.0,0.0,58.0
136,0.0,0.0,55.0
137,0.0,0.0,46.0
138,0.0,0.0,33.0
139,0.0,0.0,29.0
140,0.0,0.0,18.0
141,0.0,0.0,30.0
142,0.0,0.0,31.0
143,0.0,0.0,24.0
144,0.0,0.0,27.0
145,0.0,0.0,24.0
146,0.0,0.0,17.0
147,0.0,0.0,18.0
148,0.0,0.0,16.0
149,0.0,0.0,14.0
150,0.0,0.0,31.0
151,0.0,0.0,16.0
152,0.0,0.0,19.0
153,0.0,0.0,21.0
154,0.0,0.0,16.0
155,0.0,0.0,25.0
156,0.0,0.0,9.0
157,0.0,0.0,16.0
158,0.0,0.0,17.0
159,0.0,0.0,24.0
160,0.0,0.0,17.0
161,0.0,0.0,18.0
162,0.0,0.0,15.0
163,0.0,0.0,15.0
164,0.0,0.0,18.0
165,0.0,0.0,15.0
166,0.0,0.0,17.0
167,0.0,0.0,23.0
168,0.0,0.0,18.0
169,0.0,0.0,20.0
170,0.0,0.0,19.0
171,0.0,0.0,23.0
172,0.0,0.0,16.0
173,0.0,0.0,13.0
174,0.0,0.0,20.0
175,0.0,0.0,22.0
176,0.0,0.0,12.0
177,0.0,0.0,15.0
178,0.0,0.0,19.0
179,0.0,0.0,29.0
180,0.0,0.0,25.0
181,0.0,0.0,17.0
182,0.0,0.0,15.0
183,0.0,0.0,4.0
184,0.0,0.0,10.0
185,0.0,0.0,5.0
186,0.0,0.0,4.0
187,0.0,0.0,2.0
188,0.0,0.0,2.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
