,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,2.0
5,2.0,0.0,1.0
6,0.0,0.0,6.0
7,1.0,0.0,12.0
8,2.0,0.0,9.0
9,4.0,0.0,17.0
10,3.0,0.0,15.0
11,7.0,4.0,12.0
12,9.0,0.0,7.0
13,9.0,7.0,11.0
14,8.0,15.0,13.0
15,9.0,9.0,6.0
16,12.0,22.0,10.0
17,9.0,12.0,7.0
18,3.0,7.0,14.0
19,5.0,6.0,11.0
20,6.0,11.0,13.0
21,15.0,14.0,16.0
22,15.0,13.0,7.0
23,8.0,10.0,10.0
24,8.0,11.0,6.0
25,10.0,12.0,10.0
26,3.0,9.0,2.0
27,10.0,16.0,3.0
28,15.0,15.0,4.0
29,9.0,10.0,7.0
30,12.0,10.0,4.0
31,6.0,3.0,3.0
32,8.0,6.0,2.0
33,6.0,9.0,5.0
34,4.0,7.0,4.0
35,6.0,9.0,5.0
36,3.0,4.0,3.0
37,6.0,6.0,7.0
38,7.0,3.0,2.0
39,9.0,4.0,4.0
40,2.0,2.0,1.0
41,2.0,2.0,1.0
42,6.0,6.0,3.0
43,1.0,2.0,6.0
44,5.0,7.0,1.0
45,3.0,5.0,3.0
46,5.0,0.0,2.0
47,1.0,3.0,5.0
48,4.0,2.0,3.0
49,4.0,3.0,2.0
50,4.0,4.0,2.0
51,4.0,5.0,3.0
52,3.0,1.0,1.0
53,1.0,3.0,1.0
54,5.0,2.0,4.0
55,0.0,1.0,4.0
56,2.0,2.0,0.0
57,2.0,3.0,1.0
58,1.0,5.0,2.0
59,2.0,1.0,1.0
60,3.0,2.0,4.0
61,3.0,1.0,1.0
62,2.0,7.0,0.0
63,1.0,4.0,2.0
64,3.0,3.0,5.0
65,4.0,0.0,1.0
66,2.0,4.0,5.0
67,4.0,2.0,0.0
68,3.0,1.0,2.0
69,1.0,6.0,1.0
70,1.0,6.0,1.0
71,4.0,5.0,5.0
72,3.0,1.0,3.0
73,1.0,2.0,3.0
74,5.0,1.0,1.0
75,3.0,1.0,0.0
76,1.0,2.0,1.0
77,4.0,0.0,3.0
78,2.0,5.0,2.0
79,4.0,2.0,3.0
80,3.0,9.0,4.0
81,4.0,4.0,2.0
82,0.0,1.0,1.0
83,0.0,4.0,2.0
84,2.0,0.0,2.0
85,4.0,2.0,1.0
86,0.0,3.0,1.0
87,3.0,4.0,2.0
88,3.0,8.0,2.0
89,6.0,5.0,4.0
90,3.0,2.0,5.0
91,3.0,4.0,4.0
92,2.0,4.0,2.0
93,1.0,0.0,1.0
94,2.0,1.0,1.0
95,2.0,0.0,1.0
96,2.0,0.0,4.0
97,6.0,0.0,3.0
98,6.0,0.0,2.0
99,1.0,0.0,1.0
100,5.0,0.0,3.0
101,3.0,0.0,6.0
102,5.0,0.0,5.0
103,2.0,0.0,1.0
104,1.0,0.0,5.0
105,0.0,0.0,2.0
106,0.0,0.0,2.0
107,0.0,0.0,0.0
108,0.0,0.0,1.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
